call_id,call_datetime,call_date,call_time,direction,status,duration_sec,duration_fmt,account_id,delinquency_bucket,agent_id,agent_name,agent_type,sentiment,ptp_outcome,ptp_amount_sar,latency_ms,call_score
CL-8001,2026-02-21 09:22:38,2026-02-21,09:22:38,Outbound,USER DID NOT ANSWER,0,0s,WAT-003550,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1408,
CL-8003,2026-02-21 10:16:08,2026-02-21,10:16:08,Outbound,DECLINED BY USER,28,0m 28s,WAT-002264,31-60 DPD,AGT-008,Hessa Al-Ghamdi,Human,N/A,No Contact,0,3057,
CL-8002,2026-02-21 21:43:55,2026-02-21,21:43:55,Outbound,DECLINED BY USER,7,0m 7s,WAT-002825,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2056,
CL-8006,2026-02-23 13:41:24,2026-02-23,13:41:24,Outbound,DECLINED BY USER,15,0m 15s,WAT-003139,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1094,
CL-8007,2026-02-23 16:11:09,2026-02-23,16:11:09,Outbound,USER DID NOT ANSWER,0,0s,WAT-007313,31-60 DPD,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,14010,
CL-8005,2026-02-23 19:31:36,2026-02-23,19:31:36,Outbound,NO CUSTOMER SPEECH,43,0m 43s,WAT-002067,Write-off,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,890,
CL-8004,2026-02-23 21:21:09,2026-02-23,21:21:09,Outbound,USER DID NOT ANSWER,0,0s,WAT-001954,31-60 DPD,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,675,
CL-8012,2026-02-24 12:55:10,2026-02-24,12:55:10,Outbound,NO CUSTOMER SPEECH,4,0m 4s,WAT-001883,Write-off,AGT-021,Bandar Al-Qahtani,Human,N/A,No Contact,0,1062,
CL-8010,2026-02-24 15:36:24,2026-02-24,15:36:24,Web,FINISHED,22,0m 22s,WAT-001903,Write-off,AI-BOT,AI Voice Bot,AI,Neutral,PTP Captured,601000,2070,6.2
CL-8011,2026-02-24 18:03:29,2026-02-24,18:03:29,Outbound,FINISHED,149,2m 29s,WAT-000862,1-30 DPD,AI-BOT,AI Voice Bot,AI,Positive,No PTP,0,6136,8.5
