date,day_type,week_number,dpd_bucket,channel,template_name,attempt_count,success_count,success_pct
2026-04-01,Weekday,1,1-30 DPD,SMS,Bucket1_EN,2455,,
2026-04-01,Weekday,1,1-30 DPD,Push,Bucket1_EN,6759,,
2026-04-01,Weekday,1,1-30 DPD,IVR,Due_Reminder_EN,14790,5145,0.34787
2026-04-01,Weekday,1,1-30 DPD,NABA,Bucket1_EN,444,442,0.995495
2026-04-01,Weekday,1,31-60 DPD,SMS,Bucket2_EN,1531,,
2026-04-01,Weekday,1,31-60 DPD,Push,Bucket2_EN,4417,,
2026-04-01,Weekday,1,31-60 DPD,IVR,Due_Reminder_EN,6834,2196,0.321335
2026-04-01,Weekday,1,31-60 DPD,NABA,Bucket2_EN,234,233,0.995726
2026-04-01,Weekday,1,61-90 DPD,SMS,PKT3_PreLegal_EN,597,,
2026-04-01,Weekday,1,61-90 DPD,Push,PKT3_PreLegal_EN,2318,,
2026-04-01,Weekday,1,61-90 DPD,IVR,LPC_EN,4136,1142,0.276112
2026-04-01,Weekday,1,61-90 DPD,NABA,PKT3_PreLegal_EN,385,383,0.994805
2026-04-01,Weekday,1,>91 DPD,SMS,NPA_Offer_EN,1614,,
2026-04-01,Weekday,1,>91 DPD,Push,NPA_Offer_EN,4818,,
2026-04-01,Weekday,1,>91 DPD,IVR,NPA_Offer_EN,11475,2316,0.20183
2026-04-01,Weekday,1,>91 DPD,NABA,NPA_Offer_EN,1045,1035,0.990431
2026-04-01,Weekday,1,Write-off,SMS,Write_Off_EN,1579,,
2026-04-01,Weekday,1,Write-off,Push,Write_Off_EN,3272,,
2026-04-01,Weekday,1,Write-off,IVR,Write_Off_EN,10393,1789,0.172135
2026-04-01,Weekday,1,Write-off,NABA,Write_Off_EN,1000,948,0.948
2026-04-02,Weekday,1,1-30 DPD,SMS,Bucket1_EN,2233,,
2026-04-02,Weekday,1,1-30 DPD,Push,Bucket1_EN,7277,,
2026-04-02,Weekday,1,1-30 DPD,IVR,Due_Reminder_EN,12522,4482,0.35793
2026-04-02,Weekday,1,1-30 DPD,NABA,Bucket1_EN,411,409,0.995134
2026-04-02,Weekday,1,31-60 DPD,SMS,Bucket2_EN,1329,,
2026-04-02,Weekday,1,31-60 DPD,Push,Bucket2_EN,4178,,
2026-04-02,Weekday,1,31-60 DPD,IVR,Due_Reminder_EN,6550,1886,0.287939
2026-04-02,Weekday,1,31-60 DPD,NABA,Bucket2_EN,227,226,0.995595
2026-04-02,Weekday,1,61-90 DPD,SMS,PKT3_PreLegal_EN,629,,
2026-04-02,Weekday,1,61-90 DPD,Push,PKT3_PreLegal_EN,2355,,
2026-04-02,Weekday,1,61-90 DPD,IVR,LPC_EN,4062,1134,0.279173
2026-04-02,Weekday,1,61-90 DPD,NABA,PKT3_PreLegal_EN,383,381,0.994778
2026-04-02,Weekday,1,>91 DPD,SMS,NPA_Offer_EN,1543,,
2026-04-02,Weekday,1,>91 DPD,Push,NPA_Offer_EN,4781,,
2026-04-02,Weekday,1,>91 DPD,IVR,NPA_Offer_EN,10413,2015,0.193508
2026-04-02,Weekday,1,>91 DPD,NABA,NPA_Offer_EN,967,958,0.990693
2026-04-02,Weekday,1,Write-off,SMS,Write_Off_EN,1770,,
2026-04-02,Weekday,1,Write-off,Push,Write_Off_EN,3201,,
2026-04-02,Weekday,1,Write-off,IVR,Write_Off_EN,8716,1428,0.163837
2026-04-02,Weekday,1,Write-off,NABA,Write_Off_EN,915,866,0.946448
2026-04-03,Weekend,1,1-30 DPD,IVR,Due_Reminder_EN,4754,1698,0.357173
